Gräfe, Heinrich	http://de.wikipedia.org/wiki/Heinrich_Graefe	: H. d. Kirche	: (vor 1934) H. d. Kirche 5, Gebäude 1945 zerstört
Gries, Johann Diederich	http://de.wikipedia.org/wiki/Johann_Diederich_Gries	: Löbdergasse (12)	: (1858) ebd., Gebäude 1945 zerstört; E
Griesbach, Johann Jakob	http://de.wikipedia.org/wiki/Johann_Jakob_Griesbach	: Schloßgasse (17), Griesbachgarten	: 1. (1858) Schloßgasse 17, Gebäude 1945 zerstört; 2. (vor 1900) Am Planetarium 7 (Griesbachgarten), gestohlen 1979, erneuert 1990; 3. (1990) Ernst-Thälmann-Ring 15a
Grimm, Willibald Karl Ludwig		: Leutragasse (5)	: (vor 1928) ebd., Gebäude 1945 zerstört
Grolman(n), Carl Wilhelm von	http://de.wikipedia.org/wiki/Karl_von_Grolman	: Leutragasse	: (1858) Leutrastr. 32, erneuert 1929, Gebäude 1968/69 abgebrochen
Gropius, Walter	http://de.wikipedia.org/wiki/Walter_Gropius	: unbekannt	: (1983) Schaefferstr. 9
Großmann, Christian Gottlob Leberecht	http://de.wikipedia.org/wiki/Christian_Gottlob_Gro%C3%9Fmann	: Leutragasse (20)	: (1858) ebd., verloren vor 1934
Gruber, Johann Gottfried		: Unterlauengasse (12)	: 1. (1858) ebd., neue Anbringung (um 1900): Unterm Markt 12a, verloren; 2. (1989) Unterm Markt 12 (Hofseite)
Gruner, Christian Gottfried		: Jenergasse (6)	: (1858) ebd., erneuert 1989
Güldenapfel, Georg Johann Gottlieb		: Leutragasse (5), Jenergasse (16)	: (1929) Bibliotheksplatz (UB), Gebäude 1945 zerstört; E
Günther, Johann Christian	http://de.wikipedia.org/wiki/Johann_Christian_G%C3%BCnther	: Leutragasse	: 1. (1858) Paradiesstr. 1, verloren vor 1934; 2. (1923) Johannisfriedhof, neue Anbringung (1978): Coll. Jen.; 3. (1978) Johannisfriedhof (Kopie von 2.)
Guericke, Otto von	http://de.wikipedia.org/wiki/Guericke	: unbekannt	: (1858) Neugasse 23, erneuert 1929 und 1989
Guyet, Carl Julius		: Unterm Markt	: (vor 1928) Unterm Markt 4, verloren 1973
Haeckel, Ernst	http://de.wikipedia.org/wiki/Haeckel	: V. d. Zwätzentor, Neugasse (20), V. d. Neutor	: 1. (vor 1928) Neugasse 20, erneuert 1987; 2. (vor 1928) Jenergasse 14, verloren nach 1934; 3. (vor 1934) Marienstr. 9, Gebäude abgerissen 1987; 4. (vor 1928) Berggasse 7
Hagedorn, Friedrich von	http://de.wikipedia.org/wiki/Friedrich_von_Hagedorn	: unbekannt	: (1858) Zwätzengasse 16, verloren vor 1934, erneuert 1991
Hahn, Georg Friedrich von		: Löbdergasse, Unterm Markt	: (vor 1928) Unterm Markt 4, verloren 1973
Hallbauer, Friedrich Andreas		: Johannisgasse (26)	: (nach 1991) Weigelstr. 7
Haller, Albrecht von	http://de.wikipedia.org/wiki/Albrecht_von_Haller	: vermutlich Kollegiengasse (22), Camsdorfer Freigut	: (1858) ebd., erneuert 1929 ("Grüne Tanne"), neue Anbringung: Camsdorfer Ufer 1, erneuert 1991
Hallmann, Johann Christian	http://de.wikipedia.org/wiki/Johann_Christian_Hallmann	: unbekannt	: (nach 1991) Coll. Jen.
Hamberger, Georg Albrecht		: Johannisgasse (26) ("Weigelsches Haus"); 	: 1. (1858) Schloßgasse 17, Gebäude 1945 zerstört; 2. (nach 1991) Weigelstr. 7
Hand, Ferdinand Gotthelf	http://de.wikipedia.org/wiki/Ferdinand_Gotthelf_Hand	: Jenergasse (6)	: (1858) ebd., erneuert 1989
Harnack, Arvid	http://de.wikipedia.org/wiki/Arvid_Harnack	: Westendstr. 20	: 1. (1975) UHG (Foyer) L; 2. (1983) Westendstr. 20
Hartenstein, Gustav	http://de.wikipedia.org/wiki/Gustav_Hartenstein	: Bachgasse (19)	: (1929) Bibliotheksplatz (UB), Gebäude 1945 zerstört
Hase, Joh. Chr.		: Unterlauengasse (2), Unterlauengasse (9) (Eigentümer), Philosophenweg (46) (Gartenhaus)	: (vor 1934) Rathausgasse 1, Gebäude 1945 zerstört
Hase, Karl August von	http://de.wikipedia.org/wiki/Karl_von_Hase	: Unterlauengasse (2), Unterlauengasse (9) (Eigentümer), Philosophenweg (46) (Gartenhaus)	: 1. (vor 1928) Unterlauengasse 2, Gebäude 1945 zerstört; 2. (1991) Unterlauengasse 9
Hase, Karl Benedikt (Charles Benoit Hase)	http://de.wikipedia.org/wiki/Karl_Benedikt_Hase	: Leutragasse (5)	: (1858) Löbderstr. (5), erneuert 1929, verloren nach 1934; E
Hasse, Johann Christian		: Unterlauengasse (14)	: 1. (1858) Unterlauengasse 14, Gebäude um 1900 abgerissen, neue Anbringung: Unterm Markt 12a, verloren nach 1934; 2. (1989) Unterm Markt 12 (Hofseite)
Hauptmann, Carl	http://de.wikipedia.org/wiki/Carl_Hauptmann	: Leutragasse (5)	: (1989) Dr.-OttoNuschke-Str. 5
Hauptmann, Gerhart	http://de.wikipedia.org/wiki/Gerhart_Hauptmann	: Leutragasse (5)	: 1. (vor 1928) Lentrastr. (5), Gebäude 1945 zerstört; 2. (1989) Dr.-Otto-Nuschke-Str. 5
Hegel, Georg Wilhelm Friedrich	http://de.wikipedia.org/wiki/Hegel	: vermutlich Unterlauengasse (15)	: 1. (1858) Unterlauengasse 15, Gebäude um 1900 abgerissen, neue Anbringung: Unterm Markt 12a, verloren nach 1934; 2. (vor 1928) Fürstengraben 16, verloren vor 1934; 3. (vor 1949) UHG (Foyer); 4. (1988) Ernst-Thälmann-Ring 11 (Hofseite)
Heider, Wolfgang		: Coll. Jen., evtl. auch Löbdergasse	: (nach 1991) Coll. Jen.
Heinrich, Christoph Gottlob		: Kollegiengasse (22)	: (1858) ebd., verloren vor 1934
Hellfeld, Christian August Friedrich von		: B. Rathaus, Neugasse (23)	: (1989) Neugasse 23
